date,Revenue,Gross Profit,Operating Income,Pretax Income,Income (Loss) from Cont Ops,Net Income,Net Income Avail to Common,Diluted EPS,EBITDA,Total Equity,Cash from Operations,Cash from Investing Activities,Cash from Financing Activities,Company
2016-12-31,30.771,8.53,-1.932,0.733,-8.985,-1.7643,-1.7643,-0.011874999850988388,12.945,2552.934904,9.41,-1749.732992,1874.268032,CDEV
2017-03-31,60.7,18.831,7.653,7.243,10.707,7.5714,7.5714,0.029013000428676605,33.699,2566.252048,19.248,-98.42,-0.037,CDEV
2017-06-30,91.337,36.638,23.984,23.277,23.198,14.9185,14.9185,0.06602200120687485,58.398,2925.952,73.892,-496.904992,368.139008,CDEV
2017-09-30,112.001,41.868,26.977,25.962,16.26,15.40185,15.40185,0.06389100104570389,69.364,2946.036888,44.01,-171.428992,130,CDEV
2017-12-31,165.196992,71.501992,69.143,65.546,33.39,43.2292,43.2292,0.14765700697898865,127.924,3003.972056,122.768,-225.552,226.118,CDEV
2018-03-31,216.259008,105.972008,88.228,82.412,70.772,60.167368,60.167368,0.2276660054922104,154.238,3085.717976,131.826,-218.583008,-0.934,CDEV
2018-06-30,222.926,99.294,81.834,76.029,67.482,54.540528,54.540528,0.20629100501537323,156.78,3158.200944,192.076,-214.788,27.208,CDEV
2018-09-30,243.746,106.117008,101.254,94.733,41.674,71.999528,71.999528,0.26686298847198486,184.676992,3205.205936,170.792992,-261.595008,109.237,CDEV
2018-12-31,228.724,76.35000000000001,69.503,61.295,32.808,46.60304,46.60304,0.1763550043106079,171.586,3243.868912,175.316,-373.697984,158.648992,CDEV
2019-03-31,214.192,56.62800000000001,52.114,42.08,-8.537,33.6632,33.6632,0.12733599543571472,159.259008,3241.524048,101.028,-218.878,189.186,CDEV
2019-06-30,250.627008,70.19900799999999,65.089,50.785,19.002,38.302448,38.302448,0.14389899373054504,188.008992,3267.242976,179.166,-239.642,-0.543,CDEV
2019-09-30,220.912,32.796000000000014,22.104,6.92,-3.713,3.7146,3.7146,0.013953999616205692,144.184992,3253.813976,104.681,-239.6,119.421,CDEV
2019-12-31,252.944,52.799008,45.769,29.634,9.662,24.81207,24.81207,0.08770599961280823,175.544992,3270.700936,179.298,-234.868992,54.873,CDEV
2020-03-31,192.716,25.307007999999996,19.001,2.527,-550.345024,-45.4798,-45.4798,-0.16901999711990356,124.935,2726.786904,100.818,-166.976,59.792,CDEV
2020-06-30,83.615,-58.22400799999999,-74.097,-91.467,5.33,-69.625992,-69.625992,-0.25123700499534607,20.518,2734.54304,-16.315,-110.074,129.766,CDEV
